perturbation,model,n_cases,Q_relative_error_median,x_error_m_median,x_error_over_H_median,temperature_rmse_C_median,inference_time_ms_median,evidence_label,decision_status
baseline,direct_optimization,4,0.041347209073527666,0.4175024223414461,0.08350048446828923,2.1826258385351798,58.08624999554013,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SYNTHETIC_ROBUSTNESS_TOOL_ONLY_NO_REAL_ROBUSTNESS_CLAIM
baseline,physics_decoder_set_encoder,4,0.5265187642475284,6.563004909483187,1.3126009818966373,26.8306309615013,14.94989999991958,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SYNTHETIC_ROBUSTNESS_TOOL_ONLY_NO_REAL_ROBUSTNESS_CLAIM
temperature_noise,direct_optimization,4,0.03437722618519679,0.4175024223414461,0.08350048446828923,4.081615566872435,90.97195000140346,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SYNTHETIC_ROBUSTNESS_TOOL_ONLY_NO_REAL_ROBUSTNESS_CLAIM
temperature_noise,physics_decoder_set_encoder,4,0.5264792932694,6.562763410018494,1.3125526820036988,27.420932959315692,16.57425000303192,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SYNTHETIC_ROBUSTNESS_TOOL_ONLY_NO_REAL_ROBUSTNESS_CLAIM
random_missing,direct_optimization,4,0.060866099992564954,0.4175024223414461,0.08350048446828923,2.4196786392328664,44.54070000065258,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SYNTHETIC_ROBUSTNESS_TOOL_ONLY_NO_REAL_ROBUSTNESS_CLAIM
random_missing,physics_decoder_set_encoder,4,0.5261963878754006,6.706455248454574,1.341291049690915,19.784454973192084,15.648349999537459,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SYNTHETIC_ROBUSTNESS_TOOL_ONLY_NO_REAL_ROBUSTNESS_CLAIM
temperature_bias,direct_optimization,4,0.01557790655000027,0.4175024223414461,0.08350048446828923,3.298613243907285,88.04335000240826,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SYNTHETIC_ROBUSTNESS_TOOL_ONLY_NO_REAL_ROBUSTNESS_CLAIM
temperature_bias,physics_decoder_set_encoder,4,0.5264181835554562,6.563096591389886,1.3126193182779773,27.69478221912263,24.722250000195345,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SYNTHETIC_ROBUSTNESS_TOOL_ONLY_NO_REAL_ROBUSTNESS_CLAIM
spatial_drift,direct_optimization,4,0.041347209073527666,0.4175024223414461,0.08350048446828923,2.4868387426427927,93.04620000330033,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SYNTHETIC_ROBUSTNESS_TOOL_ONLY_NO_REAL_ROBUSTNESS_CLAIM
spatial_drift,physics_decoder_set_encoder,4,0.5265438728997406,6.563174183978557,1.3126348367957115,26.892004414245918,25.486549999186536,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SYNTHETIC_ROBUSTNESS_TOOL_ONLY_NO_REAL_ROBUSTNESS_CLAIM
position_error,direct_optimization,4,0.09437441037056434,0.47131018834864236,0.09426203766972847,2.556787801035515,101.76429999773973,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SYNTHETIC_ROBUSTNESS_TOOL_ONLY_NO_REAL_ROBUSTNESS_CLAIM
position_error,physics_decoder_set_encoder,4,0.5264943595269066,6.563755237505532,1.3127510475011064,26.789526756403866,15.075849998538615,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SYNTHETIC_ROBUSTNESS_TOOL_ONLY_NO_REAL_ROBUSTNESS_CLAIM
