case_id,data_type,decision_status,downstream_nrmse,far_field_max_dT_C,holdout_location,holdout_power,holdout_size,holdout_wind,mean_bias_C,model_family,n_points,near_critical,nrmse,peak_position_error_m,peak_relative_error,strong_wind,strong_wind_censored_exceedance_C,subset,upstream_nrmse,zero_wind_symmetry_error
syn_zero,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,NO_FORMAL_MODEL_SELECTION,0.0,5.0,False,False,False,False,0.0,traditional_empirical,5,False,0.0,0.0,0.0,False,0.0,synthetic_software,0.0,0.0
syn_critical,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,NO_FORMAL_MODEL_SELECTION,0.0,9.0,False,False,False,True,0.0,traditional_empirical,5,True,0.0,0.0,0.0,False,0.0,synthetic_software,0.0,nan
syn_strong,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,NO_FORMAL_MODEL_SELECTION,0.0,10.0,True,True,True,False,0.0,traditional_empirical,5,False,0.0,0.0,0.0,True,-1.0,synthetic_software,0.0,nan
syn_zero,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,NO_FORMAL_MODEL_SELECTION,0.006244997998398395,5.05,False,False,False,False,0.19999999999999965,independent_exponential,5,False,0.0051768716422179095,0.0,0.01,False,0.0,synthetic_software,0.0029154759474226397,0.0
syn_critical,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,NO_FORMAL_MODEL_SELECTION,0.006897247020435464,9.09,False,False,False,True,0.19200000000000098,independent_exponential,5,True,0.005477676356960611,0.0,0.010000000000000063,False,0.0,synthetic_software,0.0019116278371205991,nan
syn_strong,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,NO_FORMAL_MODEL_SELECTION,0.007413701030049898,10.1,True,True,True,False,0.12699999999999984,independent_exponential,5,False,0.005745046175232669,0.0,0.010000000000000024,True,-0.99,synthetic_software,0.0002635231383473652,nan
syn_zero,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,NO_FORMAL_MODEL_SELECTION,0.01248999599679679,5.1,False,False,False,False,0.3999999999999993,ordinary_regression,5,False,0.010353743284435819,0.0,0.02,False,0.0,synthetic_software,0.0058309518948452795,0.0
syn_critical,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,NO_FORMAL_MODEL_SELECTION,0.013794494040870851,9.18,False,False,False,True,0.3840000000000002,ordinary_regression,5,True,0.01095535271392116,0.0,0.01999999999999997,False,0.0,synthetic_software,0.003823255674241171,nan
syn_strong,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,NO_FORMAL_MODEL_SELECTION,0.014827402060099835,10.2,True,True,True,False,0.2540000000000004,ordinary_regression,5,False,0.011490092350465369,0.0,0.02000000000000005,True,-0.98,synthetic_software,0.0005270462766947304,nan
syn_zero,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,NO_FORMAL_MODEL_SELECTION,0.0187349939951952,5.15,False,False,False,False,0.6000000000000008,direct_symbolic_regression,5,False,0.015530614926653752,0.0,0.03,False,0.0,synthetic_software,0.008746427842267972,0.0
syn_critical,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,NO_FORMAL_MODEL_SELECTION,0.02069174106130629,9.27,False,False,False,True,0.5760000000000001,direct_symbolic_regression,5,True,0.016433029070881754,0.0,0.03000000000000003,False,0.0,synthetic_software,0.005734883511361743,nan
syn_strong,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,NO_FORMAL_MODEL_SELECTION,0.022241103090149743,10.3,True,True,True,False,0.38100000000000056,direct_symbolic_regression,5,False,0.017235138525698045,0.0,0.030000000000000072,True,-0.97,synthetic_software,0.0007905694150420956,nan
syn_zero,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,NO_FORMAL_MODEL_SELECTION,0.024979991993593596,5.2,False,False,False,False,0.8000000000000004,transport_kernel_closure,5,False,0.02070748656887166,0.0,0.04,False,0.0,synthetic_software,0.011661903789690611,0.0
syn_critical,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,NO_FORMAL_MODEL_SELECTION,0.027588988081741754,9.36,False,False,False,True,0.768000000000001,transport_kernel_closure,5,True,0.02191070542784236,0.0,0.0400000000000001,False,0.0,synthetic_software,0.007646511348482342,nan
syn_strong,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,NO_FORMAL_MODEL_SELECTION,0.029654804120199676,10.4,True,True,True,False,0.5080000000000011,transport_kernel_closure,5,False,0.022980184700930748,0.0,0.0400000000000001,True,-0.96,synthetic_software,0.0010540925533894607,nan
