scenario_id,sensor_id,x_m,dT_dlogQ,dT_dxf_over_H,evidence_label
syn_mid_center,T_1500,15.0,0.05631137279,-0.05278558891,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
syn_mid_center,T_2000,20.0,0.1437799823,-0.1347775887,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
syn_mid_center,T_2500,25.0,0.3671138224,-0.3441279861,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
syn_mid_center,T_3000,30.0,0.9373527279,-0.8786629291,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
syn_mid_center,T_3250,32.5,1.497801299,-1.404020533,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
syn_mid_center,T_3500,35.0,2.393345286,-2.243492462,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
syn_mid_center,T_3750,37.5,3.824340158,-3.584889472,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
syn_mid_center,T_4000,40.0,6.110935071,-5.728315446,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
syn_mid_center,T_4250,42.5,9.764698196,-9.153308102,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
syn_mid_center,T_4500,45.0,15.60306725,-14.62612351,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
syn_mid_center,T_4750,47.5,24.93223064,-23.37116663,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
syn_mid_center,T_5000,50.0,39.83935432,-37.3449212,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
syn_mid_center,T_5250,52.5,38.36119204,28.36605397,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
syn_mid_center,T_5500,55.0,26.50472481,19.5988293,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
syn_mid_center,T_5750,57.5,18.31278957,13.54133044,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
syn_mid_center,T_6000,60.0,12.65277282,9.356050157,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
syn_mid_center,T_6250,62.5,8.742123065,6.464333394,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
syn_mid_center,T_6500,65.0,6.040155527,4.466372618,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
syn_mid_center,T_6750,67.5,4.173297323,3.08593062,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
syn_mid_center,T_7000,70.0,2.883437433,2.132148078,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
syn_mid_center,T_7500,75.0,1.376489628,1.017840609,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
syn_mid_center,T_8000,80.0,0.6571058811,0.4858947259,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
syn_mid_center,T_8500,85.0,0.3136878988,0.231955458,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
