Q_MW,profile_objective,evidence_label
20.0,26.567553042080593,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,23.45628479553851,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
22.0,20.61429531370887,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
23.0,17.75969431228933,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
24.0,15.246734504967344,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
25.0,12.611053694103568,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
26.0,10.374124979226744,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
27.0,8.423612280615146,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
28.0,6.376941522160506,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
29.0,4.6859453139780705,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
30.0,3.350623656067863,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
31.0,2.3709765484298635,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
32.0,1.4556394488620974,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
33.0,0.6469508661609332,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
34.0,0.1617377165402323,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
35.0,0.0,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
36.0,0.16173771654023403,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
37.0,0.6469508661609352,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
38.0,1.455639448862101,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
39.0,2.587803464643735,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
40.0,4.043442913505833,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
41.0,5.459851474059948,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
42.0,7.096982476353307,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
43.0,9.035845444246865,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
44.0,11.276440377740576,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
45.0,13.818767276834494,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
46.0,16.662826141528555,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
47.0,19.808616971822833,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
48.0,23.25613976771728,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
49.0,27.0053945292119,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
50.0,31.056381256306683,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
