x_f_m,profile_objective,evidence_label
40.0,173.3811582548878,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
40.5,164.26425051404993,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
41.0,157.90519235879972,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
41.5,154.21329007783936,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
42.0,153.18665889114,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
42.5,154.91001918757462,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
43.0,159.55500519888156,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
43.5,167.38290509552314,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
44.0,178.7498212408341,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
44.5,153.1664339956429,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
45.0,131.39616336317005,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
45.5,113.39941407409952,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
46.0,98.37621995356132,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
46.5,82.84585469278662,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
47.0,65.88687809064305,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
47.5,48.448949669272736,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
48.0,31.916512851190447,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
48.5,17.914624598920824,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
49.0,7.691245308040743,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
49.5,1.8001759465958072,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
50.0,0.0,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
50.5,1.4787059839704932,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
51.0,5.170762844647012,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
51.5,10.153736105170426,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
52.0,15.709642476318374,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
52.5,21.200266470792315,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
53.0,26.440534946260495,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
53.5,31.264751542316095,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
54.0,36.545804526805206,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
54.5,36.33515152158922,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
55.0,38.807604423468334,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
55.5,43.90431553717109,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
56.0,52.305787495814194,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
56.5,64.55298865314697,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
57.0,80.32237945656183,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
57.5,98.64906867460492,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
58.0,117.74399578134376,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
58.5,137.77733021588196,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
59.0,159.82060607370667,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
59.5,184.0617932679085,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
60.0,210.7684812735734,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
