n_sensors,sigma_C,Q_width_MW,x_width_m,Q_low_MW,Q_high_MW,x_low_m,x_high_m,evidence_label,decision_status
4,1.0,9.418786435054272,1.3583416022430015,30.60601962838605,40.02480606344032,49.3208291988785,50.6791708011215,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
4,2.0,19.007333226367376,2.7166832044860314,26.763669642661487,45.77100286902886,48.641658397756984,51.358341602243016,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
4,4.0,39.39116259700364,5.433366408972063,20.465543221186298,59.85670581818994,47.28331679551397,52.71668320448603,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
8,1.0,3.2083214793516106,0.23905318346068327,33.43258185547303,36.64090333482464,49.88047340826966,50.11952659173034,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
8,2.0,6.42337907625884,0.47810636692135233,31.9353579863687,38.35873706262754,49.760946816539324,50.239053183460676,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
8,4.0,12.900731980636337,0.9562127338427047,29.139059706214965,42.0397916868513,49.52189363307865,50.47810636692135,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
12,1.0,3.205096312029255,0.23896881883433707,33.43412064386339,36.63921695589264,49.88051559058283,50.11948440941717,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
12,2.0,6.416908454644542,0.47793763766870256,31.93829780652606,38.3552062611706,49.76103118116565,50.23896881883435,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
12,4.0,12.887628015959816,0.9558752753373909,29.14442476509564,42.032052781055455,49.522062362331305,50.477937637668695,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
16,1.0,3.204773690714312,0.23873933739832864,33.43427457667581,36.63904826739012,49.880630331300836,50.119369668699164,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
16,2.0,6.41626118490262,0.4774786747966431,31.938591899101464,38.354853084004084,49.76126066260168,50.23873933739832,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
16,4.0,12.88631721709108,0.9549573495932862,29.144961499924282,42.03127871701536,49.52252132520336,50.47747867479664,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
