model,epoch,mean_loss,max_loss,mode,seed,model_version,data_version,n_samples,evidence_label,decision_status
fully_connected,1,4.25307641710909,12.271853856374562,source_only,101,fnn_synthetic_v1,synthetic_software,24,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SYNTHETIC_PIPELINE_ONLY_NO_MODEL_ADVANTAGE_CLAIM
fully_connected,2,3.8555254990047043,9.43214925318245,source_only,101,fnn_synthetic_v1,synthetic_software,24,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SYNTHETIC_PIPELINE_ONLY_NO_MODEL_ADVANTAGE_CLAIM
fully_connected,3,3.2938738372354455,9.400170489199313,source_only,101,fnn_synthetic_v1,synthetic_software,24,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SYNTHETIC_PIPELINE_ONLY_NO_MODEL_ADVANTAGE_CLAIM
fully_connected,4,2.779251920202878,10.075389964913844,source_only,101,fnn_synthetic_v1,synthetic_software,24,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SYNTHETIC_PIPELINE_ONLY_NO_MODEL_ADVANTAGE_CLAIM
pure_set_encoder,1,4.43856812602743,10.20237725816692,source_only,102,set_synthetic_v1,synthetic_software,24,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SYNTHETIC_PIPELINE_ONLY_NO_MODEL_ADVANTAGE_CLAIM
pure_set_encoder,2,4.3249968107994885,12.09025631000734,source_only,102,set_synthetic_v1,synthetic_software,24,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SYNTHETIC_PIPELINE_ONLY_NO_MODEL_ADVANTAGE_CLAIM
pure_set_encoder,3,4.102268804757968,11.410331550176426,source_only,102,set_synthetic_v1,synthetic_software,24,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SYNTHETIC_PIPELINE_ONLY_NO_MODEL_ADVANTAGE_CLAIM
pure_set_encoder,4,4.117225078529355,10.767846513063963,source_only,102,set_synthetic_v1,synthetic_software,24,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SYNTHETIC_PIPELINE_ONLY_NO_MODEL_ADVANTAGE_CLAIM
physics_decoder_set_encoder,1,40.35382351701532,189.83779697655683,physics_joint,103,physics_synthetic_v1,synthetic_software,24,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SYNTHETIC_PIPELINE_ONLY_NO_MODEL_ADVANTAGE_CLAIM
physics_decoder_set_encoder,2,36.75781108649023,197.7376231141426,physics_joint,103,physics_synthetic_v1,synthetic_software,24,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SYNTHETIC_PIPELINE_ONLY_NO_MODEL_ADVANTAGE_CLAIM
physics_decoder_set_encoder,3,35.01969690049913,201.57075646774385,physics_joint,103,physics_synthetic_v1,synthetic_software,24,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SYNTHETIC_PIPELINE_ONLY_NO_MODEL_ADVANTAGE_CLAIM
physics_decoder_set_encoder,4,33.77348852151471,234.5360009553743,physics_joint,103,physics_synthetic_v1,synthetic_software,24,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SYNTHETIC_PIPELINE_ONLY_NO_MODEL_ADVANTAGE_CLAIM
